"","X","ANO","MES","z_TOTAL_CONSUMO_TC_yoy_log"
"1",1,2019,1,-3.41033572733985
"2",2,2019,2,0.430910710126707
"3",3,2019,3,0.274031611070129
"4",4,2019,4,0.628787240332087
"5",5,2019,5,0.257488887745213
"6",6,2019,6,0.142102388208753
"7",7,2019,7,0.431721684789104
"8",8,2019,8,0.211336938316912
"9",9,2019,9,0.486390093023821
"10",10,2019,10,0.310102997513038
"11",11,2019,11,0.0236124895740428
"12",12,2019,12,0.659544294416812
"13",13,2020,1,0.229244406880591
"14",14,2020,2,0.147526565125654
"15",15,2020,3,-0.0283084267448187
"16",16,2020,4,-1.9047483433733
"17",17,2020,5,-1.61586041831163
"18",18,2020,6,0.230156832000694
"19",19,2020,7,-0.710997663418255
"20",20,2020,8,-0.333465294678755
"21",21,2020,9,0.0376786267201135
"22",22,2020,10,-0.420521692183171
"23",23,2020,11,0.120919062466615
"24",24,2020,12,-0.343636934709952
"25",25,2021,1,-0.578905679300589
"26",26,2021,2,-0.0482337468485827
"27",27,2021,3,0.641592326667541
"28",28,2021,4,2.02150839345338
"29",29,2021,5,1.85216652344156
"30",30,2021,6,0.258191855036146
"31",31,2021,7,0.854497383683167
"32",32,2021,8,0.794600131541422
"33",33,2021,9,0.636468217736188
"34",34,2021,10,0.579244785190361
"35",35,2021,11,0.839103707856171
"36",36,2021,12,0.688530640306454
"37",37,2022,1,1.10088721820754
"38",38,2022,2,0.758058621620994
"39",39,2022,3,0.530992808114475
"40",40,2022,4,0.62074655857668
"41",41,2022,5,0.788733960178734
"42",42,2022,6,0.738227107893258
"43",43,2022,7,0.487972734389909
"44",44,2022,8,0.730501571407743
"45",45,2022,9,0.43427195046006
"46",46,2022,10,0.707768722929586
"47",47,2022,11,0.35795272788307
"48",48,2022,12,0.406628159494064
"49",49,2023,1,0.631619858072997
"50",50,2023,2,0.359542132423386
"51",51,2023,3,0.409708740962767
"52",52,2023,4,0.252416287186691
"53",53,2023,5,0.39598820819744
"54",54,2023,6,0.409008002532302
"55",55,2023,7,0.576004797127199
"56",56,2023,8,0.188238689172061
"57",57,2023,9,0.299947140313094
"58",58,2023,10,0.473759101814573
"59",59,2023,11,0.339085691519072
"60",60,2023,12,0.223914334272817
"61",61,2024,1,0.79251116855917
"62",62,2024,2,0.721400012811705
"63",63,2024,3,0.298081414249506
"64",64,2024,4,0.744988780817722
"65",65,2024,5,-0.012239946605408
"66",66,2024,6,0.322840988063221
"67",67,2024,7,0.872843293340278
"68",68,2024,8,0.475720656952438
"69",69,2024,9,0.555785134623513
"70",70,2024,10,0.335434512060548
"71",71,2024,11,0.116438101730197
"72",72,2024,12,0.685301989333493
"73",73,2025,1,-0.19095572260702
"74",74,2025,2,0.512048208239368
"75",75,2025,3,0.195703653619705
"76",76,2025,4,0.00402014073719117
"77",77,2025,5,1.47508133168548
"78",78,2025,6,1.92928047007985
"79",79,2025,7,-0.422321787578511
"80",80,2025,8,-0.290817242087645
"81",81,2025,9,0.0691213138018083
"82",82,2025,10,-0.259330991352712
