"ANO","MES","IMAE","OCUPACION_HOT","VAR_INTERANUAL_IPC","CREDITO","VENTA"
2008,1,60.217,86.8,9.047,242573.69,33.8941
2008,2,60.657,91.3,8.679,246502.15,33.9561
2008,3,62.114,84.8,9.672,251465.26,34.04
2008,4,63.93,78.9,10.833,255347.82,34.1362
2008,5,62.974,61.3,10.035,256062.77,34.1313
2008,6,61.05,62.9,12.204,253332.03,34.2682
2008,7,61.9,71.7,13.728,253952.4,34.3855
2008,8,57.696,72.6,14.568,252176.5,34.7966
2008,9,54.625,51.7,14.579,252575.93,34.95
2008,10,60.371,51.3,12.844,255296.4,35.0877
2008,11,57.247,64.4,7.214,255189.5,35.3169
2008,12,60.664,67.3,4.517,249349.92,35.3896
2009,1,58.065,79.8,3.68,248693.04,35.4871
2009,2,58.524,84.8,4.031,246930.81,35.6545
2009,3,61.158,80.1,2.441,249359.02,35.7669
2009,4,62.522,69.8,0.695,254329.67,35.9242
2009,5,60.597,60.2,0.473,257853.82,36.0393
2009,6,60.769,61.3,0.257,260732.41,36.0041
2009,7,61.39,67.8,-1.221,262291.25,36.067
2009,8,59.64,63.3,-0.47,267441.67,36.1012
2009,9,57.922,47.5,-1.569,273181.4,36.1309
2009,10,62.488,47.7,-0.301,279046.93,36.1601
2009,11,62.714,61.8,4.18,281915.3,36.1673
2009,12,64.915,67.6,5.765,282151.92,36.1596
2010,1,60.373,80.91,6.853,284967.75,36.1865
2010,2,64.602,82.41,6.677,291221.83,36.2747
2010,3,68.245,75.6,7.427,294818.52,36.3679
2010,4,67.956,67.98,7.657,300271.65,36.5052
2010,5,66.065,55.32,7.901,307823.7,36.7937
2010,6,65.75,60.56,5.438,310194.41,36.8124
2010,7,65.304,67.39,5.673,316493.12,36.8812
2010,8,65.095,65.8,5.009,319328.12,36.9863
2010,9,63.281,56.8,5.701,329345.08,37.0664
2010,10,67.278,52.5,6.171,335832.84,37.2909
2010,11,68.028,65.7,5.374,339263.65,37.2951
2010,12,70.117,67.7,6.238,339735.16,37.3952
2011,1,63.983,80.7,6.166,340311.6,37.5396
2011,2,68.361,85.8,7.292,344687.48,37.7205
2011,3,70.605,83.5,7.607,345482.27,37.852
2011,4,68.45,74.1,8.16,350978.46,37.9026
2011,5,70.842,58.1,8.03,354422.25,37.9604
2011,6,67.474,60.4,9.319,358814.52,38.1029
2011,7,66.826,67.5,9.871,362198.38,38.1156
2011,8,66.855,68,10.175,368878.53,38.132
2011,9,65.257,56.8,9.567,373982.78,38.2137
2011,10,67.161,57.4,8.864,384800.34,38.3697
2011,11,70.454,68.3,8.627,388076.91,38.5145
2011,12,71.106,71.1,7.76,388880.88,38.6275
2012,1,67.353,84.8,6.9,386549.65,38.9468
