"","ANO","MES","IMAE","VENTA","GasolinaRegular","OCUPACION_HOT","VAR_INTERANUAL_IPC","CREDITO"
"1",1984,1,NA,NA,NA,NA,7.054,NA
"2",1984,2,NA,NA,NA,NA,11.183,NA
"3",1984,3,NA,NA,NA,NA,11.916,NA
"4",1984,4,NA,NA,NA,NA,14.88,NA
"5",1984,5,NA,NA,NA,NA,15.22,NA
"6",1984,6,NA,NA,NA,NA,19.615,NA
"7",1984,7,NA,NA,NA,NA,20.74,NA
"8",1984,8,NA,NA,NA,NA,20.13,NA
"9",1984,9,NA,NA,NA,NA,24.815,NA
"10",1984,10,NA,NA,NA,NA,26.31,NA
"11",1984,11,NA,NA,NA,NA,29.483,NA
"12",1984,12,NA,NA,NA,NA,38.636,NA
"13",1985,1,NA,NA,NA,NA,46.122,NA
"14",1985,2,NA,NA,NA,NA,50.769,NA
"15",1985,3,NA,NA,NA,NA,51.441,NA
"16",1985,4,NA,NA,NA,NA,50.671,NA
"17",1985,5,NA,NA,NA,NA,52.851,NA
"18",1985,6,NA,NA,NA,NA,48.296,NA
"19",1985,7,NA,NA,NA,NA,48.046,NA
"20",1985,8,NA,NA,NA,NA,47.563,NA
"21",1985,9,NA,NA,NA,NA,43.565,NA
"22",1985,10,NA,NA,NA,NA,41.153,NA
"23",1985,11,NA,NA,NA,NA,38.67,NA
"24",1985,12,NA,NA,NA,NA,30.853,NA
"25",1986,1,NA,NA,NA,NA,22.503,NA
"26",1986,2,NA,NA,NA,NA,14.104,NA
"27",1986,3,NA,NA,NA,NA,10.797,NA
"28",1986,4,NA,NA,NA,NA,9.329,NA
"29",1986,5,NA,NA,NA,NA,5.657,NA
"30",1986,6,NA,NA,NA,NA,4.52,NA
"31",1986,7,NA,NA,NA,NA,3.99,NA
"32",1986,8,NA,NA,NA,NA,4.03,NA
"33",1986,9,NA,NA,NA,NA,4.788,NA
"34",1986,10,NA,NA,NA,NA,5.723,NA
"35",1986,11,NA,NA,NA,NA,4.81,NA
"36",1986,12,NA,NA,NA,NA,4.399,NA
"37",1987,1,NA,NA,NA,NA,3.267,NA
"38",1987,2,NA,NA,NA,NA,4.995,NA
"39",1987,3,NA,NA,NA,NA,7.402,NA
"40",1987,4,NA,NA,NA,NA,9.607,NA
"41",1987,5,NA,NA,NA,NA,12.03,NA
"42",1987,6,NA,NA,NA,NA,15.783,NA
"43",1987,7,NA,NA,NA,NA,17.266,NA
"44",1987,8,NA,NA,NA,NA,17.274,NA
"45",1987,9,NA,NA,NA,NA,15.897,NA
"46",1987,10,NA,NA,NA,NA,16.205,NA
"47",1987,11,NA,NA,NA,NA,19.561,NA
"48",1987,12,NA,NA,NA,NA,22.672,NA
"49",1988,1,NA,NA,NA,NA,28.311,NA
"50",1988,2,NA,NA,NA,NA,31.189,NA
"51",1988,3,NA,NA,NA,NA,33.476,NA
